DATE,Value
11/1/2018,38.59
12/1/2018,40.41
1/1/2019,43.34
2/1/2019,55.5
3/1/2019,60.32
4/1/2019,58.5
5/1/2019,61.2
6/1/2019,38.4
7/1/2019,24.25
8/1/2019,23.99
9/1/2019,42.65
10/1/2019,44.13
11/1/2019,73.8
12/1/2019,71.6
1/1/2020,98.32
2/1/2020,106.88
3/1/2020,104.56
4/1/2020,298.4
5/1/2020,437.56
6/1/2020,105.63
7/1/2020,80.37
8/1/2020,60.58
9/1/2020,115.17
10/1/2020,188.33
11/1/2020,1040.13
12/1/2020,649.55
1/1/2021,423.41
2/1/2021,313.18
3/1/2021,449.14
4/1/2021,110.18
5/1/2021,524.88
